customer,location,soap_type,quantity,age,payment_type,,Points,Explanation/Questions,,,,,,
84,rural,single,NA,NA,NA,,,,,,,,,
85,rural,single,6,65,cash,,,,,,,,,
86,rural,single,10,71,credit card,,,,,,,,,
87,rural,single,8,26,cash,,,,,,,,,
88,rural,single,7,43,cash,,,,,,,,,
89,rural,single,1,38,cash,,,,,,,,,
90,rural,single,3,36,cash,,,,,,,,,
91,rural,single,5,96,credit card,,,,,,,,,
92,rural,twin,3,74,cash,,,,,,,,,
93,suburban,twin,NA,NA,NA,,,,,,,,,
94,suburban,twin,1,38,credit card,,,,,,,,,
95,suburban,twin,9,49,credit card,,,,,,,,,
96,suburban,twin,9,97,check,,,,,,,,,
97,suburban,bundle,9,54,cash,,,,,,,,,
98,suburban,bundle,1,76,check,,,,,,,,,
99,suburban,bundle,3,42,credit card,,,,,,,,,
100,suburban,bundle,5,65,cash,,,,,,,,,
101,urban,liquid,10,65,cash,,,,,,,,,
102,urban,liquid,7,40,cash,,,,,,,,,
103,urban,liquid,8,58,check,,,,,,,,,
104,rural,single,6,30,cash,,,,,,,,,
105,rural,single,6,87,credit card,,,,,,,,,
106,rural,single,NA,NA,NA,,,,,,,,,
107,rural,single,10,60,credit card,,,,,,,,,
108,rural,single,1,47,cash,,,,,,,,,
109,rural,twin,4,34,check,,,,,,,,,
110,suburban,twin,10,53,credit card,,,,,,,,,
111,suburban,twin,9,59,cash,,,,,,,,,
112,suburban,twin,2,53,check,,,,,,,,,
113,suburban,twin,6,25,cash,,,,,,,,,
114,suburban,bundle,6,58,cash,,,,,,,,,
115,suburban,bundle,1,32,cash,,,,,,,,,
116,suburban,bundle,1,53,credit card,,,,,,,,,
117,urban,liquid,1,55,cash,,,,,,,,,
118,urban,liquid,NA,NA,NA,,,,,,,,,
119,rural,single,1,92,credit card,,,,,,,,,
120,rural,single,5,63,cash,,,,,,,,,
121,rural,single,8,74,credit card,,,,,,,,,
122,rural,single,2,86,credit card,,,,,,,,,
123,rural,single,1,24,check,,,,,,,,,
124,rural,single,NA,NA,NA,,,,,,,,,
125,rural,single,NA,NA,NA,,,,,,,,,
126,rural,twin,5,98,cash,,,,,,,,,
127,rural,twin,8,73,cash,,,,,,,,,
128,rural,twin,10,79,cash,,,,,,,,,
129,suburban,twin,4,46,cash,,,,,,,,,
130,suburban,bundle,3,32,credit card,,,,,,,,,
131,suburban,bundle,5,73,cash,,,,,,,,,
132,suburban,bundle,3,76,cash,,,,,,,,,
133,urban,liquid,7,26,cash,,,,,,,,,
134,urban,liquid,4,26,credit card,,,,,,,,,
135,rural,single,NA,NA,NA,,,,,,,,,
136,rural,single,3,68,check,,,,,,,,,
137,rural,single,5,61,check,,,,,,,,,
138,rural,single,1,36,cash,,,,,,,,,
139,rural,single,8,36,cash,,,,,,,,,
140,rural,single,7,43,check,,,,,,,,,
141,rural,twin,5,35,cash,,,,,,,,,
142,rural,twin,2,35,check,,,,,,,,,
143,suburban,twin,2,55,check,,,,,,,,,
144,suburban,twin,4,43,credit card,,,,,,,,,
145,suburban,twin,1,78,check,,,,,,,,,
146,suburban,twin,5,87,check,,,,,,,,,
147,suburban,twin,8,76,cash,,,,,,,,,
148,suburban,bundle,NA,NA,NA,,,,,,,,,
149,suburban,bundle,2,85,check,,,,,,,,,
150,urban,liquid,10,53,credit card,,,,,,,,,
151,urban,liquid,10,53,check,,,,,,,,,
152,urban,liquid,NA,NA,NA,,,,,,,,,
153,urban,liquid,10,36,credit card,,,,,,,,,
154,rural,single,2,27,check,,,,,,,,,
155,rural,single,2,22,cash,,,,,,,,,
156,rural,single,10,26,cash,,,,,,,,,
157,rural,single,6,55,check,,,,,,,,,
158,rural,single,8,26,cash,,,,,,,,,
159,rural,single,2,96,check,,,,,,,,,
160,rural,single,9,67,credit card,,,,,,,,,
161,rural,twin,7,94,credit card,,,,,,,,,
162,rural,twin,NA,NA,NA,,,,,,,,,
163,rural,twin,2,74,check,,,,,,,,,
164,suburban,twin,1,28,cash,,,,,,,,,
165,urban,liquid,3,58,cash,,,,,,,,,
166,urban,liquid,5,64,credit card,,,,,,,,,
167,urban,liquid,3,46,check,,,,,,,,,
168,urban,liquid,4,64,credit card,,,,,,,,,
169,urban,liquid,8,84,cash,,,,,,,,,
170,rural,single,6,29,check,,,,,,,,,
171,rural,single,3,36,credit card,,,,,,,,,
172,rural,single,6,39,credit card,,,,,,,,,
173,rural,single,1,35,check,,,,,,,,,
174,rural,single,8,63,credit card,,,,,,,,,
175,rural,single,2,21,cash,,,,,,,,,
176,rural,twin,3,67,credit card,,,,,,,,,
177,suburban,twin,2,62,check,,,,,,,,,
178,suburban,twin,1,74,check,,,,,,,,,
179,suburban,twin,10,58,credit card,,,,,,,,,
180,suburban,bundle,2,52,credit card,,,,,,,,,
181,suburban,bundle,2,18,cash,,,,,,,,,
182,suburban,bundle,8,56,credit card,,,,,,,,,
183,urban,bundle,5,18,credit card,,,,,,,,,
184,urban,bundle,4,20,check,,,,,,,,,
185,urban,liquid,6,45,check,,,,,,,,,
186,urban,liquid,1,56,credit card,,,,,,,,,
187,urban,liquid,7,73,cash,,,,,,,,,
188,urban,liquid,3,78,credit card,,,,,,,,,
189,rural,single,5,72,check,,,,,,,,,
190,rural,single,6,30,check,,,,,,,,,
191,rural,single,4,31,cash,,,,,,,,,
192,rural,single,NA,NA,NA,,,,,,,,,
193,rural,twin,7,57,cash,,,,,,,,,
194,suburban,twin,6,27,check,,,,,,,,,
195,suburban,twin,8,29,credit card,,,,,,,,,
196,suburban,bundle,10,18,check,,,,,,,,,
197,suburban,bundle,6,43,credit card,,,,,,,,,
198,suburban,bundle,8,30,credit card,,,,,,,,,
199,suburban,bundle,7,68,credit card,,,,,,,,,
200,urban,bundle,9,52,cash,,,,,,,,,
201,urban,liquid,NA,NA,NA,,,,,,,,,
202,urban,liquid,7,41,check,,,,,,,,,
203,urban,liquid,4,95,credit card,,,,,,,,,
204,rural,single,10,89,check,,,,,,,,,
205,rural,single,7,87,credit card,,,,,,,,,
206,suburban,twin,4,58,check,,,,,,,,,
207,suburban,twin,9,23,credit card,,,,,,,,,
208,suburban,twin,10,58,cash,,,,,,,,,
209,suburban,twin,7,62,check,,,,,,,,,
210,suburban,bundle,4,92,cash,,,,,,,,,
211,suburban,bundle,9,90,credit card,,,,,,,,,
212,suburban,bundle,7,87,credit card,,,,,,,,,
213,suburban,bundle,8,96,cash,,,,,,,,,
214,suburban,bundle,NA,NA,NA,,,,,,,,,
215,suburban,bundle,6,30,credit card,,,,,,,,,
216,suburban,bundle,1,80,credit card,,,,,,,,,
217,suburban,bundle,8,79,check,,,,,,,,,
218,urban,bundle,3,86,cash,,,,,,,,,
219,urban,liquid,4,85,credit card,,,,,,,,,
220,urban,liquid,8,31,credit card,,,,,,,,,
221,rural,single,7,84,cash,,,,,,,,,
222,rural,single,5,21,check,,,,,,,,,
223,rural,single,7,72,cash,,,,,,,,,
224,rural,single,7,35,cash,,,,,,,,,
225,rural,single,4,58,cash,,,,,,,,,
226,rural,single,10,41,check,,,,,,,,,
227,rural,single,3,87,check,,,,,,,,,
228,rural,single,3,52,check,,,,,,,,,
229,rural,single,4,88,credit card,,,,,,,,,
230,rural,single,6,95,check,,,,,,,,,
231,rural,twin,5,62,cash,,,,,,,,,
232,suburban,twin,2,97,check,,,,,,,,,
233,suburban,twin,8,65,cash,,,,,,,,,
234,suburban,twin,5,30,credit card,,,,,,,,,
235,suburban,twin,3,69,cash,,,,,,,,,
236,suburban,twin,6,19,cash,,,,,,,,,
237,suburban,twin,2,56,check,,,,,,,,,
238,suburban,bundle,7,74,cash,,,,,,,,,
239,suburban,bundle,5,37,cash,,,,,,,,,
240,suburban,bundle,2,52,credit card,,,,,,,,,
241,suburban,bundle,10,70,check,,,,,,,,,
242,urban,bundle,9,56,check,,,,,,,,,
243,urban,bundle,5,94,cash,,,,,,,,,
244,urban,bundle,9,19,check,,,,,,,,,
245,urban,bundle,5,77,cash,,,,,,,,,
246,urban,liquid,7,81,credit card,,,,,,,,,
247,urban,liquid,NA,NA,NA,,,,,,,,,
248,urban,liquid,3,56,credit card,,,,,,,,,
249,urban,liquid,2,37,check,,,,,,,,,
250,rural,single,5,56,credit card,,,,,,,,,
251,rural,single,10,18,credit card,,,,,,,,,
252,rural,single,8,74,cash,,,,,,,,,
253,rural,single,10,89,cash,,,,,,,,,
254,rural,single,9,97,check,,,,,,,,,
255,rural,single,10,88,check,,,,,,,,,
256,rural,single,3,40,credit card,,,,,,,,,
257,rural,single,3,85,cash,,,,,,,,,
258,rural,single,1,74,check,,,,,,,,,
259,rural,single,3,86,credit card,,,,,,,,,
260,rural,single,7,79,credit card,,,,,,,,,
261,suburban,twin,7,87,cash,,,,,,,,,
262,suburban,twin,2,34,cash,,,,,,,,,
263,suburban,bundle,NA,NA,NA,,,,,,,,,
264,suburban,bundle,10,33,credit card,,,,,,,,,
265,suburban,bundle,8,52,cash,,,,,,,,,
266,suburban,bundle,2,75,credit card,,,,,,,,,
267,urban,bundle,8,40,credit card,,,,,,,,,
268,urban,liquid,4,41,check,,,,,,,,,
269,urban,liquid,3,63,check,,,,,,,,,
270,urban,liquid,5,45,credit card,,,,,,,,,
271,rural,single,10,33,check,,,,,,,,,
272,rural,single,4,74,credit card,,,,,,,,,
273,rural,single,9,65,cash,,,,,,,,,
274,rural,single,3,33,check,,,,,,,,,
275,rural,single,9,52,cash,,,,,,,,,
276,rural,single,3,84,check,,,,,,,,,
277,suburban,twin,5,32,check,,,,,,,,,
278,suburban,twin,1,63,cash,,,,,,,,,
279,suburban,twin,NA,NA,NA,,,,,,,,,
280,suburban,twin,2,35,cash,,,,,,,,,
281,suburban,twin,2,94,credit card,,,,,,,,,
282,suburban,twin,9,73,cash,,,,,,,,,
283,suburban,bundle,1,83,credit card,,,,,,,,,
284,urban,bundle,2,37,check,,,,,,,,,
285,urban,liquid,5,52,check,,,,,,,,,
286,urban,liquid,NA,NA,NA,,,,,,,,,
287,urban,liquid,5,35,check,,,,,,,,,
288,urban,liquid,3,24,credit card,,,,,,,,,
289,rural,single,NA,NA,NA,,,,,,,,,
290,rural,single,3,28,credit card,,,,,,,,,
291,rural,single,4,51,check,,,,,,,,,
292,rural,single,7,72,check,,,,,,,,,
293,rural,single,1,24,credit card,,,,,,,,,
294,rural,single,1,93,cash,,,,,,,,,
295,rural,single,9,43,check,,,,,,,,,
296,rural,single,3,30,credit card,,,,,,,,,
297,rural,single,7,19,credit card,,,,,,,,,
298,rural,single,2,22,check,,,,,,,,,
299,rural,single,9,93,credit card,,,,,,,,,
300,suburban,twin,7,90,credit card,,,,,,,,,
301,suburban,twin,4,54,check,,,,,,,,,
302,suburban,twin,NA,NA,NA,,,,,,,,,
303,suburban,twin,5,75,credit card,,,,,,,,,
304,suburban,twin,NA,NA,NA,,,,,,,,,
305,suburban,twin,8,94,cash,,,,,,,,,
306,urban,bundle,6,65,check,,,,,,,,,
307,urban,liquid,10,40,credit card,,,,,,,,,
308,urban,liquid,5,29,check,,,,,,,,,
309,urban,liquid,8,82,cash,,,,,,,,,
310,urban,liquid,3,87,credit card,,,,,,,,,
311,urban,liquid,9,40,check,,,,,,,,,
312,urban,liquid,1,37,credit card,,,,,,,,,
313,rural,single,6,73,check,,,,,,,,,
314,rural,single,NA,NA,NA,,,,,,,,,
315,rural,single,9,69,credit card,,,,,,,,,
316,rural,single,10,33,check,,,,,,,,,
317,rural,single,8,73,check,,,,,,,,,
318,rural,single,4,91,cash,,,,,,,,,
319,rural,single,7,57,credit card,,,,,,,,,
320,rural,single,NA,NA,NA,,,,,,,,,
321,rural,single,NA,NA,NA,,,,,,,,,
322,suburban,twin,NA,NA,NA,,,,,,,,,
323,suburban,bundle,2,83,check,,,,,,,,,
324,suburban,bundle,2,76,check,,,,,,,,,
325,urban,bundle,10,45,cash,,,,,,,,,
326,rural,single,7,48,check,,,,,,,,,
327,rural,single,4,44,check,,,,,,,,,
328,rural,single,9,88,credit card,,,,,,,,,
329,rural,single,7,49,check,,,,,,,,,
330,rural,single,3,65,check,,,,,,,,,
331,rural,single,4,26,credit card,,,,,,,,,
332,rural,single,9,27,cash,,,,,,,,,
333,rural,single,2,73,credit card,,,,,,,,,
334,rural,single,7,47,cash,,,,,,,,,
335,rural,twin,3,77,credit card,,,,,,,,,
336,rural,twin,9,56,credit card,,,,,,,,,
337,rural,twin,7,55,check,,,,,,,,,
338,suburban,twin,2,38,check,,,,,,,,,
339,suburban,twin,9,82,credit card,,,,,,,,,
340,suburban,twin,9,77,credit card,,,,,,,,,
341,suburban,twin,9,71,cash,,,,,,,,,
342,suburban,bundle,8,40,credit card,,,,,,,,,
343,suburban,bundle,6,62,cash,,,,,,,,,
344,urban,liquid,8,70,cash,,,,,,,,,
345,urban,liquid,3,98,check,,,,,,,,,
346,urban,liquid,8,86,credit card,,,,,,,,,
347,urban,liquid,4,86,cash,,,,,,,,,
348,rural,single,NA,NA,NA,,,,,,,,,
349,rural,single,7,66,check,,,,,,,,,
350,rural,single,9,29,check,,,,,,,,,
351,rural,single,6,94,credit card,,,,,,,,,
352,rural,single,6,43,check,,,,,,,,,
353,rural,single,3,80,check,,,,,,,,,
354,rural,twin,5,52,credit card,,,,,,,,,
355,rural,twin,3,88,cash,,,,,,,,,
356,suburban,twin,5,42,cash,,,,,,,,,
357,suburban,twin,5,75,credit card,,,,,,,,,
358,urban,bundle,3,71,check,,,,,,,,,
359,urban,liquid,9,58,cash,,,,,,,,,
360,urban,liquid,7,44,credit card,,,,,,,,,
361,urban,liquid,10,56,cash,,,,,,,,,
362,urban,liquid,1,53,cash,,,,,,,,,
363,urban,liquid,3,64,check,,,,,,,,,
364,urban,liquid,9,48,cash,,,,,,,,,
365,urban,liquid,NA,NA,NA,,,,,,,,,
366,urban,liquid,8,54,cash,,,,,,,,,
367,urban,liquid,5,25,credit card,,,,,,,,,
368,rural,single,NA,NA,NA,,,,,,,,,
369,rural,single,4,75,credit card,,,,,,,,,
370,rural,single,6,79,cash,,,,,,,,,
371,rural,single,9,85,credit card,,,,,,,,,
372,rural,single,8,28,check,,,,,,,,,
373,rural,single,7,93,credit card,,,,,,,,,
374,rural,single,10,46,check,,,,,,,,,
375,rural,twin,3,77,credit card,,,,,,,,,
376,rural,twin,4,79,credit card,,,,,,,,,
377,rural,twin,4,82,check,,,,,,,,,
378,suburban,twin,6,56,check,,,,,,,,,
379,suburban,bundle,NA,NA,NA,,,,,,,,,
380,suburban,bundle,3,47,check,,,,,,,,,
381,suburban,bundle,1,91,cash,,,,,,,,,
382,suburban,bundle,9,92,check,,,,,,,,,
383,suburban,bundle,NA,NA,NA,,,,,,,,,
384,urban,liquid,1,89,cash,,,,,,,,,
385,urban,liquid,8,25,check,,,,,,,,,
386,urban,liquid,9,93,credit card,,,,,,,,,
387,urban,liquid,9,43,cash,,,,,,,,,
388,urban,liquid,2,86,cash,,,,,,,,,
389,urban,liquid,8,41,cash,,,,,,,,,
390,rural,single,9,80,cash,,,,,,,,,
391,rural,single,NA,NA,NA,,,,,,,,,
392,rural,single,6,52,credit card,,,,,,,,,
393,rural,single,NA,NA,NA,,,,,,,,,
394,rural,single,10,57,cash,,,,,,,,,
395,rural,single,1,24,cash,,,,,,,,,
396,rural,single,1,35,check,,,,,,,,,
397,rural,single,10,77,credit card,,,,,,,,,
398,rural,single,NA,NA,NA,,,,,,,,,
399,rural,twin,10,86,check,,,,,,,,,
400,rural,twin,2,32,check,,,,,,,,,
401,suburban,twin,5,19,credit card,,,,,,,,,
402,suburban,twin,10,41,cash,,,,,,,,,
403,suburban,bundle,6,84,credit card,,,,,,,,,
404,suburban,bundle,10,23,cash,,,,,,,,,
405,urban,bundle,4,69,check,,,,,,,,,
406,urban,liquid,8,28,check,,,,,,,,,
407,urban,liquid,10,30,credit card,,,,,,,,,
408,urban,liquid,8,87,cash,,,,,,,,,
409,rural,single,6,54,credit card,,,,,,,,,
410,rural,single,5,43,cash,,,,,,,,,
411,rural,single,3,74,check,,,,,,,,,
412,rural,twin,NA,NA,NA,,,,,,,,,
413,rural,twin,9,92,cash,,,,,,,,,
414,suburban,bundle,6,55,credit card,,,,,,,,,
415,suburban,bundle,10,85,credit card,,,,,,,,,
416,suburban,bundle,1,80,check,,,,,,,,,
417,suburban,bundle,6,37,cash,,,,,,,,,
418,urban,liquid,6,45,check,,,,,,,,,
419,urban,liquid,8,98,check,,,,,,,,,
420,urban,liquid,8,52,cash,,,,,,,,,
421,urban,liquid,10,73,cash,,,,,,,,,
422,urban,liquid,8,62,credit card,,,,,,,,,
423,urban,liquid,4,35,credit card,,,,,,,,,
424,rural,single,2,98,credit card,,,,,,,,,
425,rural,single,3,28,credit card,,,,,,,,,
426,rural,single,8,65,check,,,,,,,,,
427,rural,single,8,27,check,,,,,,,,,
428,rural,single,5,98,cash,,,,,,,,,
429,suburban,twin,2,87,check,,,,,,,,,
430,suburban,bundle,4,33,credit card,,,,,,,,,
431,suburban,bundle,2,39,check,,,,,,,,,
432,urban,bundle,4,30,check,,,,,,,,,
433,urban,bundle,6,64,cash,,,,,,,,,
434,urban,bundle,5,57,cash,,,,,,,,,
435,urban,liquid,7,33,cash,,,,,,,,,
436,urban,liquid,7,58,cash,,,,,,,,,
437,urban,liquid,6,39,cash,,,,,,,,,
438,rural,single,4,91,check,,,,,,,,,
439,rural,single,4,73,check,,,,,,,,,
440,rural,single,9,71,check,,,,,,,,,
441,rural,single,NA,NA,NA,,,,,,,,,
442,rural,single,3,92,cash,,,,,,,,,
443,rural,single,5,34,cash,,,,,,,,,
444,rural,single,3,33,cash,,,,,,,,,
445,rural,twin,6,19,check,,,,,,,,,
446,suburban,twin,8,42,cash,,,,,,,,,
447,suburban,twin,6,55,credit card,,,,,,,,,
448,suburban,twin,1,76,cash,,,,,,,,,
449,suburban,bundle,2,28,credit card,,,,,,,,,
450,suburban,bundle,4,74,check,,,,,,,,,
451,suburban,bundle,9,98,credit card,,,,,,,,,
452,urban,bundle,8,25,credit card,,,,,,,,,
453,urban,liquid,9,67,credit card,,,,,,,,,
454,urban,liquid,7,95,check,,,,,,,,,
455,rural,single,8,93,credit card,,,,,,,,,
456,rural,single,7,85,credit card,,,,,,,,,
457,rural,single,4,29,cash,,,,,,,,,
458,rural,single,NA,NA,NA,,,,,,,,,
459,rural,single,NA,NA,NA,,,,,,,,,
460,rural,single,NA,NA,NA,,,,,,,,,
461,suburban,twin,3,71,cash,,,,,,,,,
462,suburban,twin,5,30,check,,,,,,,,,
463,suburban,twin,10,67,cash,,,,,,,,,
464,suburban,twin,4,82,credit card,,,,,,,,,
465,suburban,bundle,2,24,credit card,,,,,,,,,
466,suburban,bundle,NA,NA,NA,,,,,,,,,
467,suburban,bundle,3,27,cash,,,,,,,,,
468,urban,bundle,6,35,cash,,,,,,,,,
469,urban,bundle,7,77,credit card,,,,,,,,,
470,urban,liquid,2,28,check,,,,,,,,,
471,urban,liquid,10,66,check,,,,,,,,,
472,urban,liquid,6,85,credit card,,,,,,,,,
473,urban,liquid,3,59,cash,,,,,,,,,
474,rural,single,2,42,cash,,,,,,,,,
475,rural,single,3,83,credit card,,,,,,,,,
476,rural,single,6,32,credit card,,,,,,,,,
477,rural,single,5,22,check,,,,,,,,,
478,rural,single,1,75,check,,,,,,,,,
479,rural,single,NA,NA,NA,,,,,,,,,
480,rural,single,4,37,cash,,,,,,,,,
481,rural,single,NA,NA,NA,,,,,,,,,
482,rural,single,NA,NA,NA,,,,,,,,,
483,rural,single,3,90,check,,,,,,,,,
484,suburban,twin,6,54,credit card,,,,,,,,,
485,suburban,twin,1,46,credit card,,,,,,,,,
486,suburban,twin,NA,NA,NA,,,,,,,,,
487,suburban,twin,9,88,cash,,,,,,,,,
488,suburban,twin,3,50,cash,,,,,,,,,
489,suburban,bundle,3,49,cash,,,,,,,,,
490,suburban,bundle,5,74,credit card,,,,,,,,,
491,suburban,bundle,5,44,credit card,,,,,,,,,
492,suburban,bundle,2,93,credit card,,,,,,,,,
493,urban,bundle,8,98,credit card,,,,,,,,,
494,urban,bundle,7,64,cash,,,,,,,,,
495,urban,bundle,10,61,check,,,,,,,,,
496,rural,single,10,66,credit card,,,,,,,,,
497,rural,single,6,31,credit card,,,,,,,,,
498,rural,single,1,96,credit card,,,,,,,,,
499,rural,single,2,51,credit card,,,,,,,,,
500,rural,single,10,75,credit card,,,,,,,,,
501,rural,single,7,88,credit card,,,,,,,,,
502,rural,single,2,48,cash,,,,,,,,,
503,rural,single,NA,NA,NA,,,,,,,,,
504,rural,twin,7,61,credit card,,,,,,,,,
505,rural,twin,8,98,credit card,,,,,,,,,
506,rural,twin,4,51,cash,,,,,,,,,
507,rural,twin,9,88,check,,,,,,,,,
508,rural,twin,5,71,cash,,,,,,,,,
509,rural,twin,NA,NA,NA,,,,,,,,,
510,suburban,twin,NA,NA,NA,,,,,,,,,
511,suburban,twin,7,79,credit card,,,,,,,,,
512,suburban,bundle,5,36,cash,,,,,,,,,
513,suburban,bundle,4,33,credit card,,,,,,,,,
514,rural,single,6,42,credit card,,,,,,,,,
515,rural,single,2,78,check,,,,,,,,,
516,rural,single,2,52,credit card,,,,,,,,,
517,rural,single,8,35,credit card,,,,,,,,,
518,rural,single,7,31,cash,,,,,,,,,
519,rural,single,NA,NA,NA,,,,,,,,,
520,rural,twin,NA,NA,NA,,,,,,,,,
521,rural,twin,9,75,credit card,,,,,,,,,
522,rural,twin,9,97,cash,,,,,,,,,
523,rural,twin,NA,NA,NA,,,,,,,,,
524,suburban,twin,9,42,check,,,,,,,,,
525,suburban,bundle,8,90,credit card,,,,,,,,,
526,suburban,bundle,5,96,check,,,,,,,,,
527,suburban,bundle,6,21,check,,,,,,,,,
528,urban,bundle,7,18,check,,,,,,,,,
529,urban,liquid,NA,NA,NA,,,,,,,,,
530,rural,single,2,95,cash,,,,,,,,,
531,rural,single,3,86,check,,,,,,,,,
532,rural,single,1,25,cash,,,,,,,,,
533,rural,single,4,90,credit card,,,,,,,,,
534,rural,single,4,75,cash,,,,,,,,,
535,rural,single,NA,NA,NA,,,,,,,,,
536,rural,single,3,77,check,,,,,,,,,
537,rural,single,3,92,cash,,,,,,,,,
538,rural,twin,6,91,check,,,,,,,,,
539,rural,twin,NA,NA,NA,,,,,,,,,
540,suburban,twin,7,84,cash,,,,,,,,,
541,suburban,bundle,1,88,credit card,,,,,,,,,
542,urban,bundle,NA,NA,NA,,,,,,,,,
543,urban,bundle,NA,NA,NA,,,,,,,,,
544,urban,liquid,8,44,cash,,,,,,,,,
545,urban,liquid,10,45,check,,,,,,,,,
546,urban,liquid,8,85,credit card,,,,,,,,,
547,urban,liquid,1,85,credit card,,,,,,,,,
548,urban,liquid,9,80,cash,,,,,,,,,
549,rural,single,1,76,check,,,,,,,,,
550,rural,single,5,71,credit card,,,,,,,,,
551,rural,single,4,44,cash,,,,,,,,,
552,rural,single,9,32,cash,,,,,,,,,
